urdu,nagari,transliteration,count
رہائی,रिहाई,rihaa))ii,1
طلسمِ قفلِ ابجد,तिलिसम‐ए‐क़ुफ़ल‐ए‐अबजद,:tilism-e qufl-e abjad,1
ناز و ادا,नाज़‐ओ‐अदा,naaz-o-adaa,1
بعید,बीद,ba((iid,1
سایہِ تاک,साया‐ए‐ताक,saayah-e taak,1
نا تمامی,नातमामी,naa-tamaamii,1
چہرے,चहरे,chahre,1
قریب,क़रीब,qariib,1
وظیفہ خوار,वज़ीफ़ाख़वार,va:ziifah-;xvaar,1
عذر خواہ,उज़रख़वाह,((u;zr-;xvaah,1
مثلِ سایہِ گل,मिसल‐ए‐साया‐ए‐गुल,mi;sl-e saayah-e gul,1
غبارِ شوق,ग़ुबार‐ए‐शौक़,;gubaar-e shauq,1
جرئت آزما,जुरअतआज़मा,jur))at-aazmaa,1
چبھو,चुभो,chubho,1
آئینہِ بادِ بہاری,आईना‐ए‐बाद‐ए‐बहारी,aa))iinah-e baad-e bahaarii,1
آغوشِ وداعِ جلوہ,आग़ोश‐ए‐विदा‐ए‐जलवा,aa;gosh-e vidaa((-e jalvah,1
ہمّتِ عالی,हिममत‐ए‐आली,himmat-e ((aalii,1
جوہرِ اندیشہ,जौहर‐ए‐अंदेशा,jauhar-e andeshah,1
دھبّے,धबबे,dhabbe,1
آہ و فریاد,आह‐ओ‐फ़रयाद,aah-o-faryaad,1
پر فشانیِ شمع,परफ़िशानी‐ए‐शमा,par-fishaanii-e sham((a,1
ہوا خواہی,हवाख़वाही,havaa-;xvaahii,1
سوکھ,सूख,suukh,1
سودِ چراغِ کشتہ,सूद‐ए‐चिराग़‐ए‐कुशता,suud-e chiraa;g-e kushtah,1
کفِ افسوس,कफ़‐ए‐अफ़सोस,kaf-e afsos,1
خیالِ طرّہِ لیلیٰ,ख़याल‐ए‐तुररा‐ए‐लैला,;xayaal-e :turrah-e lail;aa,1
کشودہ,कुशूदा,kushuudah,1
موجِ خرامِ یار,मौज‐ए‐ख़िराम‐ए‐यार,mauj-e ;xiraam-e yaar,1
اجزاے نگاہِ آفتاب,अजज़ा‐ए‐निगाह‐ए‐आफ़ताब,ajzaa-e nigaah-e aaftaab,1
مژہہاے دراز,मिझ़हहा‐ए‐दराज़,mizhah'haa-e daraaz,1
بائث,बाइस,baa))i;s,1
تہمت کشِ تسکیں,तुहमतकश‐ए‐तसकीं,tuhmat-kash-e taskii;n,1
تابِ رخِ یار,ताब‐ए‐रुख़‐ए‐यार,taab-e ru;x-e yaar,1
شکر,शुकर,shukr,1
بے بہرہ,बेबहरा,be-bahrah,1
لٹتا,लुटता,lu;ttaa,1
بے جرم,बेजुरम,be-jurm,1
اوراقِ لختِ دل,औराक़‐ए‐लख़त‐ए‐दिल,auraaq-e la;xt-e dil,1
تذکرہِ غیر,तज़किरा‐ए‐ग़ैर,ta;zkirah-e ;gair,1
تیغِ تیزِ عریاں,तेग़‐ए‐तेज़‐ए‐उरयाँ,te;g-e tez-e ((uryaa;n,1
ظرفِ تنگناے غزل,ज़रफ़‐ए‐तंगना‐ए‐ग़ज़ल,:zarf-e tangnaa-e ;gazal,1
مہر وش,मिहरवश,mihr-vash,1
شعاعِ آفتابِ صبحِ محشر,शुआ‐ए‐आफ़ताब‐ए‐सुबह‐ए‐महशर,shu((aa((-e aaftaab-e .sub;h-e ma;hshar,1
جوششِ فصلِ بہاری,जोशिश‐ए‐फ़सल‐ए‐बहारी,joshish-e fa.sl-e bahaarii,1
ذوقِ معاصی,ज़ौक़‐ए‐मआसी,;zauq-e ma((aa.sii,1
مریضِ عشق,मरीज़‐ए‐इशक़,marii.z-e ((ishq,1
رہنِ غازہ,रहन‐ए‐ग़ाज़ा,rahn-e ;gaazah,1
پھرتا,फिरता,phirtaa,1
رہا,रिहा,rihaa,1
دہانِ ہر,दहान‐ए‐हर,dahaan-e har,1
سبزہ زار,सबज़ाज़ार,sabzah-zaar,1
دلِ گم گشتہ,दिल‐ए‐गुमगशता,dil-e gum-gashtah,1
دکھتے,दुखते,dukhte,1
گھستا,घिसता,ghistaa,1
دابتے,दाबते,daabte,1
چھپانا,छुपाना,chhupaanaa,1
پرکار,पुरकार,purkaar,1
ریشگی,रेशगी,reshagii,1
سمجھیں‌گے,समझेंगे,samjhe;nge,1
رہرو,रहरौ,rahrau,1
گنوا,गंवा,ga;nvaa,1
دودِ چراغِ محفل,दूद‐ए‐चिराग़‐ए‐महफ़िल,duud-e chiraa;g-e ma;hfil,1
دلا,दिला,dilaa,1
نہال,निहाल,nihaal,1
تخم,तुख़म,tu;xm,1
طعنوں,तानों,:ta((no;n,1
شکوہِ بے دست و پائی,शिकवा‐ए‐बेदसत‐ओ‐पाई,shikvah-e be-dast-o-paa))ii,1
جنازے,जनाज़े,janaaze,1
بندگیِ بو تراب,बंदगी‐ए‐बूतुराब,bandagii-e buu-turaab,1
مسیحا,मसीहा,masii;haa,1
سینہِ شمشیر,सीना‐ए‐शमशीर,siinah-e shamshiir,1
شکیبِ خاترِ عاشق,शकेब‐ए‐ख़ातिर‐ए‐आशिक़,shakeb-e ;xaatir-e ((aashiq,1
اورنگِ سلیماں,औरंग‐ए‐सुलैमाँ,aurang-e sulaimaa;n,1
نگاہِ شوق,निगाह‐ए‐शौक़,nigaah-e shauq,1
زکاتِ حسن,ज़कात‐ए‐हुसन,zakaat-e ;husn,1
خمارِ تشنہ کامی,ख़ुमार‐ए‐तिशनाकामी,;xumaar-e tishnah-kaamii,1
پہلوے اندیشہ,पहलू‐ए‐अंदेशा,pahluu-e andeshah,1
آبِ برجا ماندہ,आब‐ए‐बरजामांदा,aab-e barjaa-maa;ndah,1
دردِ تہِ جام,दुरद‐ए‐ता‐ए‐जाम,durd-e tah-e jaam,1
دامانِ خیالِ یار,दामान‐ए‐ख़याल‐ए‐यार,daamaan-e ;xayaal-e yaar,1
غرقِ نمک داں,ग़रक़‐ए‐नमकदाँ,;garq-e namak-daa;n,1
چشمِ وا گردیدہ,चशम‐ए‐वागरदीदा,chashm-e vaa-gardiidah,1
پاسخِ مکتوب,पासुख़‐ए‐मकतूब,paasu;x-e maktuub,1
برستی,बरसती,barastii,1
رہتا,रहता,rahtaa,1
قتل گہ,क़तलगा,qatl-gah,1
چھدے,छिदे,chhide,1
سروِ قامت,सरव‐ए‐क़ामत,sarv-e qaamat,1
خوشتر,ख़ुशतर,;xvushtar,1
زلفیں,ज़ुलफ़ें,zulfe;n,1
خسِ جوہر,ख़स‐ए‐जौहर,;xas-e jauhar,1
دلِ بے قرار,दिल‐ए‐बेक़रार,dil-e be-qaraar,1
بے خوابی,बेख़वाबी,be-;xvaabii,1
مہر و ماہ,मिहर‐ओ‐माह,mihr-o-maah,1
باعثِ نومیدیِ اربابِ ہوس,बाइस‐ए‐नौमीदी‐ए‐अरबाब‐ए‐हवस,baa((i;s-e naumiidii-e arbaab-e havas,1
نازشِ ایّامِ خاکستر نشینی,नाज़िश‐ए‐अययाम‐ए‐ख़ाकिसतरनिशीनी,naazish-e ayyaam-e ;xaakistar-nishiinii,1
پھندے,फंदे,phande,1
مرثیہ,मरसिया,mar;siyah,1
آلودہ,आलूदा,aaluudah,1
وسعتِ صحرا,वुसअत‐ए‐सहरा,vus((at-e .sa;hraa,1
چالاک,चालाक,chaalaak,1
جاویں,जावें,jaave;n,1
سبز,सबज़,sabz,1
وہمِ ناز,वहम‐ए‐नाज़,vahm-e naaz,1
ظہور,ज़ुहूर,:zuhuur,1
نقدِ داغِ دل,नक़द‐ए‐दाग़‐ए‐दिल,naqd-e daa;g-e dil,1
جاں گسل,जाँगुसिल,jaa;n-gusil,1
گوشت,गोशत,gosht,1
تیغِ نگہ,तेग़‐ए‐निगा,te;g-e nigah,1
حریفِ دمِ عیسیٰ,हरीफ़‐ए‐दम‐ए‐ईसा,;hariif-e dam-e ((iis;aa,1
عرصے,अरसे,((ar.se,1
محوِ ماہِ کنعاں,महव‐ए‐माह‐ए‐कंाँ,ma;hv-e maah-e kan((aa;n,1
پاے طاؤس,पा‐ए‐ताऊस,paa-e :taa))uus,1
مسائلِ تصوّف,मसाइल‐ए‐तसववुफ़,masaa))il-e ta.savvuf,1
تمنّاے زباں,तमन्ना‐ए‐ज़बाँ,tamannaa-e zabaa;n,1
ستم ایجاد,सितमईजाद,sitam-iijaad,1
تلافی,तलाफ़ी,talaafii,1
بوجھ,बोझ,bojh,1
سرمہِ مفتِ نظر,सुरमा‐ए‐मुफ़त‐ए‐नज़र,surmah-e muft-e na:zar,1
یاس و امّید,यास‐ओ‐उममीद,yaas-o-ummiid,1
انتظارِ صید,इंतिज़ार‐ए‐सैद,inti:zaar-e .said,1
تر,तर,tar,1
پاسبانی,पासबानी,paasbaanii,1
کہاروں,कहारों,kahaaro;n,1
اعجازِ ہواے صیقل,इजाज़‐ए‐हवा‐ए‐सैक़ल,i((jaaz-e havaa-e .saiqal,1
گوشے,गोशे,goshe,1
خدا ساز,ख़ुदासाज़,;xudaa-saaz,1
گیاہ,गियाह,giyaah,1
رشکِ فارسی,रशक‐ए‐फ़ारसी,rashk-e faarsii,1
روئیں,रोएं,ro))e;n,1
پیا,पिया,piyaa,1
من جملہِ اسبابِ ویرانی,मिनजुमला‐ए‐असबाब‐ए‐वीरानी,min-jumlah-e asbaab-e viiraanii,1
موجِ آب,मौज‐ए‐आब,mauj-e aab,1
فریاد و آہ و زاری,फ़रयाद‐ओ‐आह‐ओ‐ज़ारी,faryaad-o-aah-o-zaarii,1
پیغامِ زبانی,पैग़ाम‐ए‐ज़बानी,pai;gaam-e zabaanii,1
رشتہِ ہر,रिशता‐ए‐हर,rishtah-e har,1
مطرب,मुतरिब,mu:trib,1
کمال,कमाल,kamaal,1
ذرّہِ زمیں,ज़ररा‐ए‐ज़मीं,;zarrah-e zamii;n,1
نومید,नौमीद,naumiid,1
عناں گیر,इनाँगीर,((inaa;n-giir,1
خوفِ بد آموزیِ عدو,ख़ौफ़‐ए‐बदआमोज़ी‐ए‐अदू,;xauf-e bad-aamozii-e ((aduu,1
بیگانہِ وفا,बेगाना‐ए‐वफ़ा,begaanah-e vafaa,1
نا تمامیِ نفسِ شعلہ بار,नातमामी‐ए‐नफ़स‐ए‐शुलाबार,naa-tamaamii-e nafas-e shu((lah-baar,1
عید,ईद,((iid,1
فرو,फ़रो,faro,1
روبکاری,रूबकारी,ruubakaarii,1
مہر,मुहर,muhr,1
آتشِ خاموش,आतिश‐ए‐ख़ामोश,aatish-e ;xaamosh,1
عہدے,उहदे,((uhde,1
صدمہِ یک جنبشِ لب,सदमा‐ए‐यकजुंबिश‐ए‐लब,.sadmah-e yak-junbish-e lab,1
کوتاہیِ نشو و نما,कोताही‐ए‐नशव‐ओ‐नुमा,kotaahii-e nashv-o-numaa,1
مشتاقِ لخّتہاے حسرت,मुशताक़‐ए‐लज़ज़तहा‐ए‐हसरत,mushtaaq-e la;z;zat'haa-e ;hasrat,1
پشیماں,पशेमाँ,pashemaa;n,1
بتا,बता,bataa,1
حظِّ وصل,हज़ज़‐ए‐वसल,;ha:z:z-e va.sl,1
دل پذیر,दिलपज़ीर,dil-pa;ziir,1
جوش و خروش,जोश‐ओ‐ख़रोश,josh-o-;xarosh,1
شگفتنِ گلہاے عیش,शिगुफ़तन‐ए‐गुलहा‐ए‐ऐश,shiguftan-e gul'haa-e ((aish,1
حسرت پرستِ بالیں,हसरतपरसत‐ए‐बालीं,;hasrat-parast-e baalii;n,1
ڈھونڈتا,ढूंडता,;dhuu;n;dtaa,1
نظر گاہِ حیا,नज़रगाह‐ए‐हया,na:zar-gaah-e ;hayaa,1
جستہ,जसता,jastah,1
گریبانی,गरेबानी,garebaanii,1
آستیں,आसतीं,aastii;n,1
حالِ شہیدانِ گزشتہ,हाल‐ए‐शहीदान‐ए‐गुज़शता,;haal-e shahiidaan-e guzashtah,1
مونس,मूनिस,muunis,1
عیماے شعلہ,ईमा‐ए‐शुला,((iimaa-e shu((lah,1
لب تشنہِ تقریر,लबतिशना‐ए‐तक़रीर,lab-tishnah-e taqriir,1
وحشت و شیفتہ,वहशत‐ओ‐शेफ़ता,va;hshat-o-sheftah,1
عربدہ میداں,अरबदामैदाँ,((arbadah-maidaa;n,1
آفرینش,आफ़िरीनिश,aafiriinish,1
پینے,पीने,piine,1
ذوقِ گرفتاریِ ہم,ज़ौक़‐ए‐गिरिफ़तारी‐ए‐हम,;zauq-e giriftaarii-e ham,1
حشر,हशर,;hashr,1
از بسکہ,अज़बसकिह,az-baskih,1
آئنہ پرداز,आइनापरदाज़,aa))inah-pardaaz,1
عالی,आली,((aalii,1
مرہم,मरहम,marham,1
کمان,कमान,kamaan,1
کھیت,खेत,khet,1
رنجشیں,रंजिशें,ranjishe;n,1
تربت,तुरबत,turbat,1
چشمِ بینا,चशम‐ए‐बीना,chashm-e biinaa,1
کھائے,खाए,khaa))e,1
رہیو,रहयो,rahyo,1
بے کاریِ جنوں,बेकारी‐ए‐जुनूँ,be-kaarii-e junuu;n,1
تلف,तलफ़,talaf,1
معشوقِ شوخ و عاشقِ دیوانہ,माशूक़‐ए‐शोख़‐ओ‐आशिक़‐ए‐दीवाना,ma((shuuq-e sho;x-o-((aashiq-e diivaanah,1
خستہ,ख़सता,;xastah,1
مجبوری و دعواے گرفتاریِ الفت,मजबूरी‐ओ‐दावा‐ए‐गिरिफ़तारी‐ए‐उलफ़त,majbuurii-o-da((vaa-e giriftaarii-e ulfat,1
پاؤں,पाऊँ,paa))uu;n,1
حلِ مشکلِ عاشق,हलल‐ए‐मुशकिल‐ए‐आशिक़,;hall-e mushkil-e ((aashiq,1
سرگشتہِ خمارِ رسوم و قیود,सरगशता‐ए‐ख़ुमार‐ए‐रुसूम‐ओ‐क़ुयूद,sargashtah-e ;xumaar-e rusuum-o-quyuud,1
در ماندگی,दरमांदगी,dar-maa;ndagii,1
مردن,मुरदन,murdan,1
دب,दब,dab,1
پر گل,पुरगुल,pur-gul,1
شگاف,शिगाफ़,shigaaf,1
دے,दै,dai,1
درسِ دفترِ امکاں,दरस‐ए‐दफ़तर‐ए‐इमकाँ,dars-e daftar-e imkaa;n,1
دفتر,दफ़तर,daftar,1
بیاباں نوردِ وہمِ وجود,बयाबाँनवरद‐ए‐वहम‐ए‐वुजूद,bayaabaa;n-navard-e vahm-e vujuud,1
دردی کشِ پیمانہِ جم,दुरदीकश‐ए‐पैमाना‐ए‐जम,durdii-kash-e paimaanah-e jam,1
سختی کشانِ عشق,सख़तीकशान‐ए‐इशक़,sa;xtii-kashaan-e ((ishq,1
جوشِ اشک,जोश‐ए‐अशक,josh-e ashk,1
بیٹھیں,बैठें,bai;the;n,1
طرب انشاے التفات,तरबइंशा‐ए‐इलतिफ़ात,:tarab-inshaa-e iltifaat,1
دیوانگی,दीवानगी,diivaanagii,1
دیوارِ دبستاں,दीवार‐ए‐दबिसताँ,diivaar-e dabistaa;n,1
محیطِ آب,मुहीत‐ए‐आब,mu;hii:t-e aab,1
پھروں,फिरूँ,phiruu;n,1
غارت,ग़ारत,;gaarat,1
شامِ حجر,शाम‐ए‐हिजर,shaam-e ;hijr,1
زبانِ سپاس,ज़बान‐ए‐सिपास,zabaan-e sipaas,1
عاشقِ اہلِ کرم,आशिक़‐ए‐अहल‐ए‐करम,((aashiq-e ahl-e karam,1
خورشید و ماہ,ख़ुरशीद‐ओ‐माह,;xvurshiid-o-maah,1
سواے خونِ جگر,सिवा‐ए‐ख़ून‐ए‐जिगर,sivaa-e ;xuun-e jigar,1
کودکی,कूदकी,kuudakii,1
ستانا,सताना,sataanaa,1
بختِ رسا,बख़त‐ए‐रसा,ba;xt-e rasaa,1
لاویں‌گے,लावेंगे,laave;nge,1
سمجھنی,समझनी,samajhnii,1
سخنِ گرم,सुख़न‐ए‐गरम,su;xan-e garm,1
سنگِ فساں,संग‐ए‐फ़साँ,sang-e fasaa;n,1
چوری,चोरी,chorii,1
سایہِ دیوارِ یار,साया‐ए‐दीवार‐ए‐यार,saayah-e diivaar-e yaar,1
قناعت,क़नाअत,qanaa((at,1
مستِ مےِ ذات,मसत‐ए‐मै‐ए‐ज़ात,mast-e mai-e ;zaat,1
اگتی,उगती,ugtii,1
احمقوں,अहमक़ों,a;hmaqo;n,1
حسرتِ دل,हसरत‐ए‐दिल,;hasrat-e dil,1
دکھاؤنگا,दिखाऊंगा,dikhaa))uu;ngaa,1
جزو,जुज़व,juzv,1
فراغ,फ़राग़,faraa;g,1
سازِ آہنگِ شکایت,साज़‐ए‐आहंग‐ए‐शिकायत,saaz-e aahang-e shikaayat,1
نظّارہِ جمال,नज़ज़ारा‐ए‐जमाल,na:z:zaarah-e jamaal,1
جادادِ بادہ نوشیِ رنداں,जादाद‐ए‐बादानोशी‐ए‐रिंदाँ,jaadaad-e baadah-noshii-e rindaa;n,1
شورِ پندِ ناصح,शोर‐ए‐पंद‐ए‐नासिह,shor-e pand-e naa.si;h,1
مغتنم,मुग़तनम,mu;gtanam,1
راحت طلبی,राहततलबी,raa;hat-:talabii,1
عکس,अकस,((aks,1
سر بر,सरबर,sar-bar,1
قبلہِ حاجات,क़िबला‐ए‐हाजात,qiblah-e ;haajaat,1
رفو,रफ़ू,rafuu,1
رہینِ ستمہاے روزگار,रहीन‐ए‐सितमहा‐ए‐रोज़गार,rahiin-e sitamhaa-e rozgaar,1
محابا,मुहाबा,mu;haabaa,1
نسخہِ مرہم,नुसख़ा‐ए‐मरहम,nus;xah-e marham,1
گرہ کشا,गिराकुशा,girah-kushaa,1
کھرے,खरे,khare,1
لکھیے,लिखिये,likhiye,1
شعلہِ عشق,शुला‐ए‐इशक़,shu((lah-e ((ishq,1
ہلاک,हलाक,halaak,1
فرماؤ,फ़रमाओ,farmaa))o,1
منحصر,मुंहसिर,mun;ha.sir,1
چکے,चुके,chuke,1
حلقہِ دامِ خیال,हलक़ा‐ए‐दाम‐ए‐ख़याल,;halqah-e daam-e ;xayaal,1
بے پر و بالی,बेपर‐ओ‐बाली,be-par-o-baalii,1
داد خواہ,दादख़वाह,daad-;xvaah,1
آدم,आदम,aadam,1
دفینہ,दफ़ीना,dafiinah,1
خس و خاشاکِ گلستاں,ख़स‐ओ‐ख़ाशाक‐ए‐गुलिसताँ,;xas-o-;xaashaak-e gulistaa;n,1
پرتوِ خورشیدِ جہاں تاب,परतव‐ए‐ख़ुरशीद‐ए‐जहाँताब,partav-e ;xvurshiid-e jahaa;n-taab,1
نجات,निजात,nijaat,1
جیبِ خیال,जेब‐ए‐ख़याल,jeb-e ;xayaal,1
بے سر و پا,बेसर‐ओ‐पा,be-sar-o-paa,1
گستاخیِ فرشتہ,गुसताख़ी‐ए‐फ़रिशता,gustaa;xii-e farishtah,1
عالم آرائی,आलमआराई,((aalam-aaraa))ii,1
مانعِ ذوقِ تماشا,माना‐ए‐ज़ौक़‐ए‐तमाशा,maana((-e ;zauq-e tamaashaa,1
بند و بست,बंद‐ओ‐बसत,band-o-bast,1
بیدادِ کاوشہاے مژگاں,बेदाद‐ए‐काविशहा‐ए‐मिझ़गाँ,bedaad-e kaavish'haa-e mizhgaa;n,1
عرضِ نیازِ عشق,अरज़‐ए‐नियाज़‐ए‐इशक़,((ar.z-e niyaaz-e ((ishq,1
دیں,दें,de;n,1
نظرہاے تیز,नज़रहा‐ए‐तेज़,na:zar'haa-e tez,1
طاعت,ताअत,:taa((at,1
ظلمت کدے,ज़ुलमतकदे,:zulmat-kade,1
سوختن,सोख़तन,so;xtan,1
بادہِ شبانہ,बादा‐ए‐शबाना,baadah-e shabaanah,1
طول,तूल,:tuul,1
طالعِ شوق,ताला‐ए‐शौक़,:taala((-e shauq,1
دمِ سماع,दम‐ए‐समा,dam-e samaa((,1
خسّت,ख़िससत,;xissat,1
آمدِ خط,आमद‐ए‐ख़त,aamad-e ;xa:t,1
یقیں,यक़ीं,yaqii;n,1
شیشہ و قدح و کوزہ و سبو,शीशा‐ओ‐क़दह‐ओ‐कूज़ा‐ओ‐सबू,shiishah-o-qada;h-o-kuuzah-o-sabuu,1
سیرِ چراغاں,सैर‐ए‐चिराग़ाँ,sair-e chiraa;gaa;n,1
گیتی,गीती,giitii,1
حائل,हाइल,;haa))il,1
نالہِ لبِ خونیں نواے گل,नाला‐ए‐लब‐ए‐ख़ूनींनवा‐ए‐गुल,naalah-e lab-e ;xuunii;n-navaa-e gul,1
حکایاتِ خوں چکاں,हिकायात‐ए‐ख़ूँचकाँ,;hikaayaat-e ;xuu;n-chakaa;n,1
خود بین و خود آرا,ख़ुदबीन‐ओ‐ख़ुदआरा,;xvud-biin-o-;xvud-aaraa,1
آزردگیِ یار,आज़ुरदगी‐ए‐यार,aazurdagii-e yaar,1
پستی,पसती,pastii,1
شرم سار,शरमसार,sharm-saar,1
ہواے سیرِ گل,हवा‐ए‐सैर‐ए‐गुल,havaa-e sair-e gul,1
زیارت کدہ,ज़ियारतकदा,ziyaarat-kadah,1
دیدہِ خوں نابہ فشاں,दीदा‐ए‐ख़ूँनाबाफ़िशाँ,diidah-e ;xuu;n-naabah-fishaa;n,1
سہل,सहल,sahl,1
جانےگا,जानेगा,jaanegaa,1
رنگِ تماشا,रंग‐ए‐तमाशा,rang-e tamaashaa,1
چشمِ خوباں,चशम‐ए‐ख़ूबाँ,chashm-e ;xuubaa;n,1
بندہ پرور,बंदापरवर,bandah-parvar,1
شکیب و صبرِ اہلِ انجمن,शिकेब‐ओ‐सबर‐ए‐अहल‐ए‐अंजुमन,shikeb-o-.sabr-e ahl-e anjuman,1
گردشِ سیّارہ,गरदिश‐ए‐सैयारा,gardish-e saiyaarah,1
عمرِ جاوداں,उमर‐ए‐जाविदाँ,((umr-e jaavidaa;n,1
محوِ بالشِ کمخواب,महव‐ए‐बालिश‐ए‐कमख़वाब,ma;hv-e baalish-e kam;xvaab,1
بے دماغی,बेदिमाग़ी,be-dimaa;gii,1
دیدہِ دل,दीदा‐ए‐दिल,diidah-e dil,1
نازِ مفلساں,नाज़‐ए‐मुफ़लिसाँ,naaz-e muflisaa;n,1
قدرِ سنگِ سرِ رہ,क़दर‐ए‐संग‐ए‐सर‐ए‐रा,qadr-e sang-e sar-e rah,1
حسنِ تماشا دوست,हुसन‐ए‐तमाशादोसत,;husn-e tamaashaa-dost,1
پردہِ ساز,परदा‐ए‐साज़,pardah-e saaz,1
چاہنے,चाहने,chaahne,1
بتِ غالیہ مو,बुत‐ए‐ग़ालियामो,but-e ;gaaliyah-mo,1
آرے,आरे,aare,1
ہوشیاری,होशयारी,hoshyaarii,1
در کار,दरकार,dar-kaar,1
غالبِ شوریدہ حال,ग़ालिब‐ए‐शोरीदाहाल,;gaalib-e shoriidah-;haal,1
اوروں,औरों,auro;n,1
شبہاے حجر,शबहा‐ए‐हिजर,shab'haa-e ;hijr,1
نشانِ جگرِ سوختہ,निशान‐ए‐जिगर‐ए‐सोख़ता,nishaan-e jigar-e so;xtah,1
ایمان,ईमान,iimaan,1
شہ پر,शापर,shah-par,1
تحیّر,तहैयुर,ta;haiyur,1
پانے,पाने,paane,1
ابنِ مریم,इबन‐ए‐मरयम,ibn-e maryam,1
صیقلِ آئینہ,सैक़ल‐ए‐आईना,.saiqal-e aa))iinah,1
ن شنیدن,नशुनीदन,na-shuniidan,1
فرشِ پا انداز,फ़रश‐ए‐पाअंदाज़,farsh-e paa-andaaz,1
چشمِ مست,चशम‐ए‐मसत,chashm-e mast,1
یارانِ نکتہ داں,यारान‐ए‐नुकतादाँ,yaaraan-e nuktah-daa;n,1
بلغمی,बलग़मी,bal;gamii,1
سینہِ عاشق,सीना‐ए‐आशिक़,siinah-e ((aashiq,1
افتادہ,उफ़तादा,uftaadah,1
صورتِ عالم,सूरत‐ए‐आलम,.suurat-e ((aalam,1
دوست دارِ دشمن,दोसतदार‐ए‐दुशमन,dost-daar-e dushman,1
انتقام,इंतिक़ाम,intiqaam,1
سرِ دامن,सर‐ए‐दामन,sar-e daaman,1
تلخ نوائی,तलख़नवाई,tal;x-navaa))ii,1
متاعِ ہنر,मता‐ए‐हुनर,mataa((-e hunar,1
دیدہِ ساغر,दीदा‐ए‐साग़र,diidah-e saa;gar,1
مہجورِ پیام و چشم,महजूर‐ए‐पयाम‐ओ‐चशम,mahjuur-e payaam-o-chashm,1
چراغانِ شبستانِ دلِ پروانہ,चिराग़ान‐ए‐शबिसतान‐ए‐दिल‐ए‐परवाना,chiraa;gaan-e shabistaan-e dil-e parvaanah,1
تراشا,तराशा,taraashaa,1
خوفِ رقیب,ख़ौफ़‐ए‐रक़ीब,;xauf-e raqiib,1
لطفِ خرامِ ساقی و ذوقِ صداے چنگ,लुतफ़‐ए‐ख़िराम‐ए‐साक़ी‐ओ‐ज़ौक़‐ए‐सदा‐ए‐चंग,lu:tf-e ;xiraam-e saaqii-o-;zauq-e .sadaa-e chang,1
ناداں,नादाँ,naadaa;n,1
روح,रूह,ruu;h,1
رعونت,रूनत,ra((uunat,1
تعریف,तारीफ़,ta((riif,1
حج,हज,;haj,1
رنج آشنا,रंजआशना,ranj-aashnaa,1
پہلو,पहलू,pahluu,1
بکھر,बिखर,bikhar,1
مواخذہِ روزِ حشر,मुवाख़ज़ा‐ए‐रोज़‐ए‐हशर,muvaa;xa;zah-e roz-e ;hashr,1
تیوری,तेवरी,tevarii,1
خندہِ گل,ख़ंदा‐ए‐गुल,;xandah-e gul,1
تپشِ شوق,तपिश‐ए‐शौक़,tapish-e shauq,1
اہلِ خرد,अहल‐ए‐ख़िरद,ahl-e ;xirad,1
اڑتا,उड़ता,u;rtaa,1
گمانِ رنجشِ خاطر,गुमान‐ए‐रंजिश‐ए‐ख़ातिर,gumaan-e ranjish-e ;xaa:tir,1
باغِ شگفتہ,बाग़‐ए‐शिगुफ़ता,baa;g-e shiguftah,1
زنداں خانہ,ज़िंदाँख़ाना,zindaa;n-;xaanah,1
پشت گرمیِ تاب و تواں,पुशतगरमी‐ए‐ताब‐ओ‐तुवाँ,pusht-garmii-e taab-o-tuvaa;n,1
رسائی,रसाई,rasaa))ii,1
ربطِ نہانی,रबत‐ए‐निहानी,rab:t-e nihaanii,1
قطعِ رہِ اضطراب,क़त‐ए‐रा‐ए‐इज़तिराब,qa:t((-e rah-e i.z:tiraab,1
محو,महव,ma;hv,1
گردِ ساحل,गरद‐ए‐साहिल,gard-e saa;hil,1
خارِ رہ,ख़ार‐ए‐रा,;xaar-e rah,1
فروزاں,फ़ुरोज़ाँ,furozaa;n,1
کریدتے,कुरेदते,kuredte,1
بے شمع,बेशमा,be-sham((a,1
خس و خاشاک,ख़स‐ओ‐ख़ाशाक,;xas-o-;xaashaak,1
دلِ آوارہ,दिल‐ए‐आवारा,dil-e aavaarah,1
محرومِ جمال,महरूम‐ए‐जमाल,ma;hruum-e jamaal,1
ڈھانپا,ढांपा,;dhaa;npaa,1
کفِ خاک,कफ़‐ए‐ख़ाक,kaf-e ;xaak,1
او,ओ,o,1
خاکِ دشتِ مجنوں,ख़ाक‐ए‐दशत‐ए‐मजनूँ,;xaak-e dasht-e majnuu;n,1
چشمِ خریدار,चशम‐ए‐ख़रीदार,chashm-e ;xariidaar,1
جھگڑتے,झगड़ते,jhaga;rte,1
زعم,ज़ाम,za((m,1
طلسمِ پیچ و تاب,तिलिसम‐ए‐पेच‐ओ‐ताब,:tilism-e pech-o-taab,1
دہاں,दहाँ,dahaa;n,1
اندازہِ تقریر,अंदाज़ा‐ए‐तक़रीर,andaazah-e taqriir,1
نشّے,नशशे,nashshe,1
بہرا,बहरा,bahraa,1
کیفیّتِ شادی,कैफ़िययत‐ए‐शादी,kaifiyyat-e shaadii,1
گنجینہِ معنی,गंजीना‐ए‐मानी,ganjiinah-e ma((nii,1
چھڑکیں,छिड़कें,chhi;rke;n,1
مشغولِ حق,मशग़ूल‐ए‐हक़,mash;guul-e ;haq,1
